"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"omega_d1[1]",0.3230306553025,0.320823845,0.0283202037131483,0.027468041244,0.2800801835,0.371866217,1.00314993355535,1781.38623716026,2567.15323500968
"omega_d1[2]",0.5176025626625,0.51577581,0.0424625569612362,0.0428832413100001,0.4497040205,0.5890311175,1.00262001871413,1260.16535966089,1880.02536063444
"omega_d1[3]",0.2196997654,0.21828858,0.0202953346539234,0.020559169722,0.1893594885,0.2548421575,1.00145865601734,2245.39194727129,2775.06762933596
"omega_d1[4]",0.128796276512,0.127893235,0.0137368035390661,0.013216533918,0.107827509,0.1528142155,1.00206735826391,2825.16661116305,2644.14002377793
"omega_d1[5]",0.2820043053275,0.280215035,0.0289086768517064,0.0287668878,0.2368987405,0.332815602,1.00543073095345,1755.2672434604,2517.97592217
"omega_d1[6]",0.0531626845095,0.052971387,0.00737951023323312,0.00732236643810001,0.04142154475,0.0655735738,1.00128484818681,1578.96099336457,2459.41096305505
"omega_d1[7]",0.1732235441675,0.171775225,0.0205518738644983,0.019755281763,0.14139146,0.2093835825,1.00309087085517,1210.42550081023,1700.39010687398
"omega_d1[8]",0.2812347497425,0.279427225,0.0266139690114002,0.025976212059,0.240479908,0.326639202,1.00038224228453,1987.57054889092,2577.83781731879
"omega_d1[9]",0.123457534232,0.12284684,0.0128784359983385,0.012789715617,0.1030834225,0.1456688625,1.00076677645366,1818.78455059466,2341.88539732479
"omega_d1[10]",0.076220390761,0.0757660735,0.00859777052059542,0.0085694835975,0.06246466395,0.0909971269,1.00044949751398,2838.37151817611,2793.68314312513
"omega_d1[11]",0.1548451209675,0.153999095,0.0141456665645629,0.014061504723,0.132944426,0.1788115495,1.00186324032417,2301.34317567618,3333.79893199617
"omega_d1[12]",0.05364168579975,0.052941561,0.00879300557523674,0.008386452921,0.0402875834,0.06943870705,1.00289277655568,1171.95309334105,2238.08973336337
"omega_d1[13]",0.0413461631415,0.041155274,0.00867584136762618,0.0085111306854,0.02760223175,0.0560533852,1.00623507793148,930.631605584116,1978.33489835905
"omega_d2[1]",0.2009198981325,0.19996764,0.0207401777480936,0.020469094359,0.168940381,0.237288355,1.00257603770819,2786.45879876137,3092.58369047673
"omega_d2[2]",0.4311004178525,0.429262,0.0373281577201845,0.037540032453,0.373468848,0.4951569355,1.00175360751936,1812.93603276977,2274.63573949563
"omega_d2[3]",0.11596335558375,0.115400305,0.0158759732066144,0.01559309724,0.0916578202,0.1428715775,1.00071053126637,2426.87879401761,3054.50761456376
"omega_d2[4]",0.1627014168925,0.161687215,0.0156993424275541,0.015455756589,0.1386134555,0.189589907,1.00150378502418,2742.13332717598,2990.8952309579
