TableNo,Training Set,Source,MW,Ea,Sa,Aa,Ba,log Pb,MRb,Ob,Vb,Oblate Spheroid Minor Axisc,pKa (acid)d,pKa (base)d,ID,Names,ACD
13,4-n-pentylaniline,Sigma-Aldrich,163.26,0.92,0.94,0.27,0.39,3.292,54.204,1.3925,165.159,1.399,,4.9,45,4-n-pentylaniline,0
14,"5,5-diphenylhydantoin",Sigma-Aldrich,252.27,1.96,2.14,0.78,1.25,1.98,69.931,1.3459,157.787,1.447,8.3,,46,"5,5-diphenylhydantoin",0
,,,,,,,,,,,,,,8.12,47,Risperidone,1
15,5-phenylpentanol,Sigma-Aldrich,164.24,0.82,0.95,0.36,0.65,2.94,51.432,1.3945,113.033,1.23,15.87,,48,5-phenylpentanol,0
22,berberine,Sigma-Aldrich,336.36,,,,,,,1.5272,255.039,1.427,,100,49,berberine,0
11,4-n-butylbenzoic acid,Sigma-Aldrich,178.23,0.77,0.83,0.72,0.42,3.006,51.79,1.3797,160.901,1.405,4.1,,50,4-n-butylbenzoic acid,0
12,4-n-heptylaniline,Sigma-Aldrich,191.31,0.92,0.94,0.27,0.39,4.204,63.406,1.4548,199.909,1.403,,4.9,51,4-n-heptylaniline,0
30,butyl phenyl ether,Sigma-Aldrich,150.22,0.66,0.64,0,0.4,3.253,46.394,1.3772,143.643,1.356,,,52,Butyl phenyl ether,0
64,Lin-cis-Fe,BMS,301.36,1.57,1.59,0.57,0.79,4.681,81.777,1.3924,257.671,1.623,4.92,3.98,53,Lin-cis-F,0
65,Lin-cis-Ie,BMS,420.52,2.39,2.83,0.53,1.46,4.955,119.071,1.5235,373.051,1.625,13.8,4.07,54,Lin-cis-I,0
18,amitriptyline,Sigma-Aldrich,277.4,1.72,1.53,0,1.05,4.424,92.388,1.4817,257.746,1.49,,8.8,55,amitriptyline,0
,,,,,,,,,,,,,,7.29,56,dasatinib,1
44,nortriptyline,Sigma-Aldrich,263.38,1.78,1.53,0.09,1.07,4.249,87.094,1.4761,240.269,1.463,,9.9,57,nortriptyline,0
42,nicardipine,Sigma-Aldrich,479.53,2.26,3.56,0.26,1.95,2.549,135.193,,648,,,7.12,58,Nicardipine,0
53,rosuvastatin,Sigma-Aldrich,481.54,2.63,3.36,1.07,2.53,0.594,,1.5485,391.569,1.617,4.33,1.53,59,Rosuvastatin,0
71,cis-chalcone,Prepared from trans-chalcone,208.26,1.65,1.41,0,0.6,3.08,66.877,1.4153,169.147,1.378,,,60,cis-chalcone,0
35,dipropyl phthalate,Acros Organics,250.29,0.66,1.27,0,0.91,3.323,67.657,1.4489,218.289,1.453,,,61,dipropylphthalate,0
