ID,Compound,smiles
60,"2,2'-dinaphthylether",C1=CC=C2C=C(C=CC2=C1)OC3=CC4=CC=CC=C4C=C3
61,2-naphthol,C1=CC=C2C=C(C=CC2=C1)O
62,4-chlorotoluene,CC1=CC=C(C=C1)Cl
63,caffeine,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
64,cortisone,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2C(=O)C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C
65,dipropylphthalate,CCCOC(=O)C1=CC=CC=C1C(=O)OCCC
66,N-benzylformamide,C1=CC=C(C=C1)CNC=O
67,o-cresol,CC1=CC=CC=C1O
68,pyrene,C1=CC2=C3C(=C1)C=CC4=CC=CC(=C43)C=C2
69,"1,3-dinitrobenzene",C1=CC(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-]
70,Phenanthrene,C1=CC=C2C(=C1)C=CC3=CC=CC=C32
71,phenol,C1=CC=C(C=C1)O
72,prednisone,C[C@]12CC(=O)[C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C
73,p-xylene,CC1=CC=C(C=C1)C
74,"N,N-dimethylbenzamide",CN(C)C(=O)C1=CC=CC=C1
75,"N,N-diethylbenzamide",CCN(CC)C(=O)C1=CC=CC=C1
76,p-cresol,CC1=CC=C(C=C1)O
77,1-nitropropane,CCC[N+](=O)[O-]
78,chlorobenzene,C1=CC=C(C=C1)Cl
79,Triphenylene,C1=CC=C2C(=C1)C3=CC=CC=C3C4=CC=CC=C24
80,o-Terphenyl,C1=CC=C(C=C1)C2=CC=CC=C2C3=CC=CC=C3
81,1-naphthylamine,C1=CC=C2C(=C1)C=CC=C2N
82,2-nitrobenzoicacid,C1=CC=C(C(=C1)C(=O)O)[N+](=O)[O-]
83,pyridine,C1=CC=NC=C1
84,reserpine,CO[C@H]1[C@@H](C[C@@H]2CN3CCC4=C([C@H]3C[C@@H]2[C@@H]1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC
85,fenoprofen,CC(C1=CC(=CC=C1)OC2=CC=CC=C2)C(=O)O
86,Nicardipine,CC1=C(C(C(=C(N1)C)C(=O)OCCN(C)CC2=CC=CC=C2)C3=CC(=CC=C3)[N+](=O)[O-])C(=O)OC
87,aceclofenac,C1=CC=C(C(=C1)CC(=O)OCC(=O)O)NC2=C(C=CC=C2Cl)Cl
