index,SessionName,Compound,phi,n,k,kCorrected,tM,kRef,kTol,Date,FlowRate,Temperature,Column_Manufacturer,Column_Brand,Column_Phase,Column_ParticleSize,Column_PoreSize,Column_Length,Column_InnerDiameter,Column_SerialNumber
3558,13_1_2,acetophenone,60,3,0.740361,0.898567883,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3559,13_1_2,acetophenone,60,4,0.756338,0.91795899,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3560,13_1_2,acetophenone,60,5,0.749416,0.909557836,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3561,13_1_2,acetophenone,50,1,1.18953,1.443719286,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3562,13_1_2,acetophenone,50,2,1.17169,1.422067077,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3563,13_1_2,acetophenone,50,3,1.16338,1.411981323,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3564,13_1_2,acetophenone,50,4,1.17858,1.430429393,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3565,13_1_2,acetophenone,50,5,1.1844,1.437493062,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3566,13_1_2,acetophenone,40,1,1.97244,2.393928416,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3567,13_1_2,acetophenone,40,2,1.99197,2.417631759,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3568,13_1_2,acetophenone,40,3,1.99225,2.417971592,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3569,13_1_2,acetophenone,40,4,1.96398,2.383660608,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3570,13_1_2,acetophenone,40,5,1.96706,2.38739877,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3571,13_1_2,acetophenone,35,1,2.65383,3.220923855,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3572,13_1_2,acetophenone,35,2,2.6433,3.208143711,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3573,13_1_2,acetophenone,35,3,2.63105,3.193276023,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3574,13_1_2,acetophenone,35,4,2.6175,3.176830539,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3575,13_1_2,acetophenone,35,5,2.61894,3.178578251,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3576,13_1_2,acetophenone,30,1,3.61565,4.388274055,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3577,13_1_2,acetophenone,30,2,3.60141,4.370991126,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3578,13_1_2,acetophenone,30,3,3.58896,4.3558807,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3579,13_1_2,acetophenone,30,4,3.58432,4.350249184,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3580,13_1_2,acetophenone,30,5,3.58839,4.355188897,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3581,13_1_2,acetophenone,25,1,4.98259,6.047313878,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3582,13_1_2,acetophenone,25,2,4.97575,6.039012247,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3583,13_1_2,acetophenone,25,3,4.98931,6.055469867,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3584,13_1_2,acetophenone,25,4,4.98495,6.050178184,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3585,13_1_2,acetophenone,25,5,4.97002,6.03205781,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3586,13_1_2,acetophenone,20,1,7.09316,8.608889134,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3587,13_1_2,acetophenone,20,2,7.13561,8.660410225,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3588,13_1_2,acetophenone,20,3,7.20492,8.744530999,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3589,13_1_2,acetophenone,20,4,7.09652,8.612967128,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3590,13_1_2,acetophenone,20,5,7.15384,8.682535773,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3591,13_1_2,acetophenone,15,1,10.4738,12.71193417,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3592,13_1_2,acetophenone,15,2,10.5102,12.75611245,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3593,13_1_2,acetophenone,15,3,10.3952,12.61653823,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3594,13_1_2,acetophenone,15,4,10.4682,12.70513752,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3595,13_1_2,acetophenone,15,5,10.5591,12.81546183,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3596,13_1_2,acetophenone,10,1,15.8954,19.29206959,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3597,13_1_2,acetophenone,10,2,15.9286,19.33236406,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
