"","n_exp","c","fi","evsi","type"
"112",112,8,0.3,0.141570655262519,"laplace"
"113",113,9,0.35,0.126922265462283,"laplace"
"114",114,10,0.4,0.110667822280373,"laplace"
"115",115,11,0.45,0.148005443663512,"laplace"
"116",116,12,0.5,0.166889354482814,"laplace"
"117",117,13,0.55,0.159256426664696,"laplace"
"118",118,1,0.6,0.136339932479709,"laplace"
"119",119,2,0.65,0.160975088912095,"laplace"
"120",120,3,0.7,0.16284864291383,"laplace"
"121",121,4,0.75,0.173578040169248,"laplace"
"122",122,5,0.8,0.18593604156728,"laplace"
"123",123,6,0.85,0.15714187274389,"laplace"
"124",124,7,0.9,0.199072374564838,"laplace"
"125",125,8,0.95,0.162594435782086,"laplace"
"126",126,9,1,0.165920198521215,"laplace"
"127",127,10,0,0.0774528117136828,"laplace"
"128",128,11,0.05,0.0925892792604391,"laplace"
"129",129,12,0.1,0.140900212986266,"laplace"
"130",130,13,0.15,0.144673152220638,"laplace"
"131",131,1,0.2,0.096901825466804,"laplace"
"132",132,2,0.25,0.133212974499751,"laplace"
"133",133,3,0.3,0.140770698641886,"laplace"
"134",134,4,0.35,0.13301736502385,"laplace"
"135",135,5,0.4,0.110866685382015,"laplace"
"136",136,6,0.45,0.148188742889109,"laplace"
"137",137,7,0.5,0.202257772393225,"laplace"
"138",138,8,0.55,0.176535390649759,"laplace"
"139",139,9,0.6,0.167264137230579,"laplace"
"140",140,10,0.65,0.161536903873769,"laplace"
"141",141,11,0.7,0.159067624767323,"laplace"
"142",142,12,0.75,0.168084200098542,"laplace"
"143",143,13,0.8,0.164204000316745,"laplace"
"144",144,1,0.85,0.130982839016594,"laplace"
"145",145,2,0.9,0.154708120711273,"laplace"
"146",146,3,0.95,0.158454150313336,"laplace"
"147",147,4,1,0.171381706965415,"laplace"
"148",148,5,0,0.0798763420431336,"laplace"
"149",149,6,0.05,0.0918074583454971,"laplace"
"150",150,7,0.1,0.166755574858467,"laplace"
"151",151,8,0.15,0.149180064762862,"laplace"
"152",152,9,0.2,0.145427293477879,"laplace"
"153",153,10,0.25,0.150231363690063,"laplace"
"154",154,11,0.3,0.141599405585886,"laplace"
"155",155,12,0.35,0.123522256658263,"laplace"
"156",156,13,0.4,0.111425600339202,"laplace"
"157",157,1,0.45,0.129520106516143,"laplace"
"158",158,2,0.5,0.154705538401074,"laplace"
"159",159,3,0.55,0.167543746228918,"laplace"
"160",160,4,0.6,0.174024318170357,"laplace"
"161",161,5,0.65,0.182549656183945,"laplace"
"162",162,6,0.7,0.165951388205576,"laplace"
"163",163,7,0.75,0.200091969400843,"laplace"
"164",164,8,0.8,0.165988809232318,"laplace"
"165",165,9,0.85,0.170561280796137,"laplace"
"166",166,10,0.9,0.16189272004075,"laplace"
"167",167,11,0.95,0.155547910203323,"laplace"
"168",168,12,1,0.16378957702097,"laplace"
"169",169,13,0,0.0782212954407674,"laplace"
"170",170,1,0.05,0.0799854591887998,"laplace"
"171",171,2,0.1,0.107218914191015,"laplace"
"172",172,3,0.15,0.151567344255742,"laplace"
"173",173,4,0.2,0.145939020272264,"laplace"
"174",174,5,0.25,0.146104612849957,"laplace"
"175",175,6,0.3,0.139182623950343,"laplace"
"176",176,7,0.35,0.127571254586294,"laplace"
"177",177,8,0.4,0.111068432910093,"laplace"
"178",178,9,0.45,0.147280696406819,"laplace"
"179",179,10,0.5,0.161891897932859,"laplace"
"180",180,11,0.55,0.166689696310047,"laplace"
"181",181,12,0.6,0.170459763896069,"laplace"
"182",182,13,0.65,0.164222552268951,"laplace"
"183",183,1,0.7,0.132619252181191,"laplace"
"184",184,2,0.75,0.156137601256856,"laplace"
"185",185,3,0.8,0.164140083983787,"laplace"
"186",186,4,0.85,0.172436083159038,"laplace"
"187",187,5,0.9,0.179572990099311,"laplace"
"188",188,6,0.95,0.160573111022308,"laplace"
"189",189,7,1,0.194436550918544,"laplace"
"190",190,8,0,0.0739232661263267,"laplace"
"191",191,9,0.05,0.0920949729473673,"laplace"
"192",192,10,0.1,0.144044572534137,"laplace"
"193",193,11,0.15,0.145041006289091,"laplace"
"194",194,12,0.2,0.144417899207907,"laplace"
"195",195,13,0.25,0.145404076692043,"laplace"
"196",196,1,0.3,0.139422367928658,"laplace"
"197",197,2,0.35,0.141130802589694,"laplace"
"198",198,3,0.4,0.111052033287601,"laplace"
"199",199,4,0.45,0.151477598134321,"laplace"
"200",200,5,0.5,0.183055281798508,"laplace"
"201",201,6,0.55,0.165659694844857,"laplace"
"202",202,7,0.6,0.202924251163211,"laplace"
"203",203,8,0.65,0.170991481524599,"laplace"
"204",204,9,0.7,0.166255756524233,"laplace"
"205",205,10,0.75,0.160218861072283,"laplace"
"206",206,11,0.8,0.159508680505303,"laplace"
"207",207,12,0.85,0.16641640146154,"laplace"
"208",208,13,0.9,0.15932298803752,"laplace"
"209",209,1,0.95,0.130075000522189,"laplace"
"210",210,2,1,0.154986918600646,"laplace"
"211",211,3,0,0.0729739021993098,"laplace"
"212",212,4,0.05,0.0923251380823712,"laplace"
"213",213,5,0.1,0.153463431228901,"laplace"
"214",214,6,0.15,0.142633827027816,"laplace"
"215",215,7,0.2,0.15991812487171,"laplace"
"216",216,8,0.25,0.144251708193395,"laplace"
"217",217,9,0.3,0.139134797195126,"laplace"
"218",218,10,0.35,0.133864224286909,"laplace"
"219",219,11,0.4,0.111581498349362,"laplace"
"220",220,12,0.45,0.145873898061264,"laplace"
"221",221,13,0.5,0.159699413488729,"laplace"
"222",222,1,0.55,0.136460813836209,"laplace"
"223",223,2,0.6,0.154457829361519,"laplace"
"224",224,3,0.65,0.160379092411791,"laplace"
"225",225,4,0.7,0.173891648507567,"laplace"
"226",226,5,0.75,0.187532492636191,"laplace"
"227",227,6,0.8,0.16057303309552,"laplace"
"228",228,7,0.85,0.197469840400794,"laplace"
"229",229,8,0.9,0.165547201977036,"laplace"
"230",230,9,0.95,0.165698695653977,"laplace"
"231",231,10,1,0.163551604229745,"laplace"
"232",232,11,0,0.0770565246552362,"laplace"
"233",233,12,0.05,0.0942936276157471,"laplace"
"234",234,13,0.1,0.141462220062902,"laplace"
"235",235,1,0.15,0.0841398911914016,"laplace"
"236",236,2,0.2,0.120922722584207,"laplace"
"237",237,3,0.25,0.147218395234041,"laplace"
"238",238,4,0.3,0.144902826379829,"laplace"
"239",239,5,0.35,0.126867999474938,"laplace"
"240",240,6,0.4,0.110937809490091,"laplace"
"241",241,7,0.45,0.172482571031787,"laplace"
"242",242,8,0.5,0.166058388832403,"laplace"
"243",243,9,0.55,0.17210965453445,"laplace"
"244",244,10,0.6,0.159685819413522,"laplace"
"245",245,11,0.65,0.16216924612362,"laplace"
"246",246,12,0.7,0.168865336852761,"laplace"
"247",247,13,0.75,0.164243540652596,"laplace"
"248",248,1,0.8,0.132993795175451,"laplace"
"249",249,2,0.85,0.155748306197725,"laplace"
"250",250,3,0.9,0.157859188863599,"laplace"
"251",251,4,0.95,0.171070137617054,"laplace"
"252",252,5,1,0.185609274311155,"laplace"
"253",253,6,0,0.0763971783561398,"laplace"
"254",254,7,0.05,0.116167679654181,"laplace"
"255",255,8,0.1,0.133872991423008,"laplace"
"256",256,9,0.15,0.143251527745177,"laplace"
"257",257,10,0.2,0.146640880603019,"laplace"
"258",258,11,0.25,0.14670191641486,"laplace"
"259",259,12,0.3,0.145059944879179,"laplace"
"260",260,13,0.35,0.131211198380864,"laplace"
"261",261,1,0.4,0.112742897401691,"laplace"
"262",262,2,0.45,0.135644984154609,"laplace"
"263",263,3,0.5,0.158176423133282,"laplace"
"264",264,4,0.55,0.173035968758826,"laplace"
"265",265,5,0.6,0.180042490138524,"laplace"
"266",266,6,0.65,0.16618371356182,"laplace"
"267",267,7,0.7,0.196665700287669,"laplace"
"268",268,8,0.75,0.167464744569712,"laplace"
"269",269,9,0.8,0.168343025995309,"laplace"
"270",270,10,0.85,0.160910500673556,"laplace"
"271",271,11,0.9,0.157343247410462,"laplace"
"272",272,12,0.95,0.165006289608947,"laplace"
"273",273,13,1,0.161722610059404,"laplace"
