"","n_exp","c","fi","evsi","type"
"114",114,10,0.4,0.0130444936404096,"sample"
"115",115,11,0.45,0.0716330243282715,"sample"
"116",116,12,0.5,0.100316902965372,"sample"
"117",117,13,0.55,0.0923551817690536,"sample"
"118",118,1,0.6,0.0735377995302903,"sample"
"119",119,2,0.65,0.15827841859125,"sample"
"120",120,3,0.7,0.112943197803239,"sample"
"121",121,4,0.75,0.113036470823572,"sample"
"122",122,5,0.8,0.133554428505556,"sample"
"123",123,6,0.85,0.0933052846561694,"sample"
"124",124,7,0.9,0.142314284685132,"sample"
"125",125,8,0.95,0.0929716674475587,"sample"
"126",126,9,1,0.100104459636218,"sample"
"127",127,10,0,0.028822406830532,"sample"
"128",128,11,0.05,0.0364824349263819,"sample"
"129",129,12,0.1,0.0218649245281754,"sample"
"130",130,13,0.15,0.036051772267195,"sample"
"131",131,1,0.2,0.0524366151271503,"sample"
"132",132,2,0.25,0.107699139449685,"sample"
"133",133,3,0.3,0.063901878922705,"sample"
"134",134,4,0.35,0.062520307464951,"sample"
"135",135,5,0.4,0.0132586603068003,"sample"
"136",136,6,0.45,0.0749608524674703,"sample"
"137",137,7,0.5,0.152839562890087,"sample"
"138",138,8,0.55,0.115482329650898,"sample"
"139",139,9,0.6,0.105293665177388,"sample"
"140",140,10,0.65,0.0950461903106814,"sample"
"141",141,11,0.7,0.0958043709441878,"sample"
"142",142,12,0.75,0.110050566993858,"sample"
"143",143,13,0.8,0.0946652157579954,"sample"
"144",144,1,0.85,0.0613933627617259,"sample"
"145",145,2,0.9,0.130990574954961,"sample"
"146",146,3,0.95,0.102791404922707,"sample"
"147",147,4,1,0.106380297247536,"sample"
"148",148,5,0,0.0332461954420476,"sample"
"149",149,6,0.05,0.0368124998812894,"sample"
"150",150,7,0.1,0.0428942818379535,"sample"
"151",151,8,0.15,0.0348423245384862,"sample"
"152",152,9,0.2,0.0458367259007061,"sample"
"153",153,10,0.25,0.0714091588883689,"sample"
"154",154,11,0.3,0.0673723717658777,"sample"
"155",155,12,0.35,0.0364467330523526,"sample"
"156",156,13,0.4,0.0120459210470283,"sample"
"157",157,1,0.45,0.052721194040244,"sample"
"158",158,2,0.5,0.162019087711026,"sample"
"159",159,3,0.55,0.119091292697699,"sample"
"160",160,4,0.6,0.117629137308122,"sample"
"161",161,5,0.65,0.132881505011474,"sample"
"162",162,6,0.7,0.101526336367679,"sample"
"163",163,7,0.75,0.145047770240414,"sample"
"164",164,8,0.8,0.0985534335712907,"sample"
"165",165,9,0.85,0.104424174090061,"sample"
"166",166,10,0.9,0.0966256123085353,"sample"
"167",167,11,0.95,0.0923052192722157,"sample"
"168",168,12,1,0.100060025967979,"sample"
"169",169,13,0,0.0303954716337217,"sample"
"170",170,1,0.05,0.0302900414282383,"sample"
"171",171,2,0.1,0.0671983383067263,"sample"
"172",172,3,0.15,0.0377010432637996,"sample"
"173",173,4,0.2,0.052582225878535,"sample"
"174",174,5,0.25,0.0726506427813695,"sample"
"175",175,6,0.3,0.0617138991627421,"sample"
"176",176,7,0.35,0.0606838657518359,"sample"
